FEATURE_ID	FEATURE_NAME	MEAN_POS	MEDIAN_ALL	MEDIAN_0	MEDIAN_1	FOLD_CHANGE	LOG2_FOLD_CHANGE
67	testKevin68	2.0	0.40000000000000002	0.25	0.69999999999999996	2.7999999999999998	1.4854268271702415
155	testKevin156	2.2400000000000002	0.40000000000000002	0.25	0.69999999999999996	2.7999999999999998	1.4854268271702415
555	testKevin556	3.4199999999999999	0.0	0.0	0.10000000000000001	inf	inf
460	testKevin461	4.5199999999999996	0.20000000000000001	0.10000000000000001	0.5	5.0	2.3219280948873622
259	testKevin260	5.5199999999999996	0.20000000000000001	0.10000000000000001	0.5	5.0	2.3219280948873622
7	testKevin8	6.1399999999999997	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
49	testKevin50	6.54	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
125	testKevin126	7.1200000000000001	0.29999999999999999	0.10000000000000001	0.59999999999999998	5.9999999999999991	2.5849625007211561
10	testKevin11	7.5999999999999996	0.40000000000000002	0.29999999999999999	0.69999999999999996	2.3333333333333335	1.2223924213364481
320	testKevin321	10.6	0.20000000000000001	0.10000000000000001	0.29999999999999999	2.9999999999999996	1.5849625007211561
574	testKevin575	12.220000000000001	0.10000000000000001	0.0	0.20000000000000001	inf	inf
317	testKevin318	12.24	0.10000000000000001	0.0	0.20000000000000001	inf	inf
576	testKevin577	12.32	0.0	0.0	0.10000000000000001	inf	inf
321	testKevin322	13.56	0.0	0.0	0.10000000000000001	inf	inf
18	testKevin19	14.02	0.0	0.0	0.29999999999999999	inf	inf
263	testKevin264	16.82	0.0	0.0	0.10000000000000001	inf	inf
87	testKevin88	17.239999999999998	0.0	0.0	0.29999999999999999	inf	inf
471	testKevin472	17.260000000000002	0.0	0.0	0.10000000000000001	inf	inf
200	testKevin201	19.48	0.0	0.0	0.20000000000000001	inf	inf
383	testKevin384	20.039999999999999	0.0	0.0	0.20000000000000001	inf	inf
691	testKevin692	20.300000000000001	0.0	0.0	0.20000000000000001	inf	inf
411	testKevin412	22.879999999999999	0.0	0.0	0.10000000000000001	inf	inf
27	testKevin28	22.940000000000001	0.0	0.0	0.10000000000000001	inf	inf
222	testKevin223	23.84	0.0	0.0	0.10000000000000001	inf	inf
99	testKevin100	24.739999999999998	0.0	0.0	0.10000000000000001	inf	inf
0	testKevin1	25.899999999999999	0.0	0.0	0.10000000000000001	inf	inf
582	testKevin583	26.5	0.0	0.0	0.10000000000000001	inf	inf
544	testKevin545	28.379999999999999	0.0	0.0	0.0	nan	nan
311	testKevin312	28.82	0.0	0.0	0.0	nan	nan
577	testKevin578	29.800000000000001	0.0	0.0	0.0	nan	nan
66	testKevin67	31.0	0.0	0.0	0.0	nan	nan
556	testKevin557	33.200000000000003	0.0	0.0	0.0	nan	nan
151	testKevin152	34.200000000000003	0.0	0.0	0.0	nan	nan
475	testKevin476	35.0	0.0	0.0	0.0	nan	nan
564	testKevin565	36.119999999999997	0.0	0.0	0.0	nan	nan
265	testKevin266	36.259999999999998	0.0	0.0	0.0	nan	nan
563	testKevin564	36.579999999999998	0.0	0.0	0.0	nan	nan
182	testKevin183	36.960000000000001	0.0	0.0	0.0	nan	nan
84	testKevin85	37.68	0.0	0.0	0.0	nan	nan
262	testKevin263	42.68	0.0	0.0	0.0	nan	nan
359	testKevin360	49.200000000000003	0.0	0.0	0.0	nan	nan
589	testKevin590	51.359999999999999	0.0	0.0	0.0	nan	nan
261	testKevin262	51.82	0.0	0.0	0.0	nan	nan
652	testKevin653	53.100000000000001	0.0	0.0	0.0	nan	nan
469	testKevin470	56.420000000000002	0.0	0.0	0.0	nan	nan
299	testKevin300	57.479999999999997	0.0	0.0	0.0	nan	nan
327	testKevin328	57.740000000000002	0.0	0.0	0.0	nan	nan
69	testKevin70	58.32	0.0	0.0	0.0	nan	nan
244	testKevin245	58.960000000000001	0.0	0.0	0.0	nan	nan
242	testKevin243	59.020000000000003	0.0	0.0	0.0	nan	nan
